,source,target,edge
1959,ClinicalTrials.gov,data,processed
1960,study population,sample,comprise
1961,ClinicalTrials.gov,data,processed
1962,Researchers,100 participants,recruiting
1963,ClinicalTrials.gov,data,processed
1964,optimal management,health risks,minimize
1965,Major rapid changes,negative consequences,induce
1966,Major,curator trusteeship,protected
1967,ClinicalTrials.gov,data,processed
1968,nebulized heparin,theseverity,"Furthermore, Randomized, placebo controlled study to"
1969,virus,respiratory symptoms,reported in
1970,ClinicalTrials.gov,data,processed
1971,Main outcomes,cause mortality,include
1972,ClinicalTrials.gov,data,processed
1973,investigators,data,utilize
1974,investigators,predictors,select
1975,investigators,predictors,select
1976,ClinicalTrials.gov,data,processed
1977,ClinicalTrials.gov,data,processed
1978,ClinicalTrials.gov,data,processed
1979,study,structure,provide
1980,ClinicalTrials.gov,data,processed
1981,the Egyptians,rituals,have
1982,ClinicalTrials.gov,data,processed
1983,Case series,sepsis,suggest
1984,ClinicalTrials.gov,data,processed
1985,ClinicalTrials.gov,data,processed
1986,Quick SOFA,seriously ill patients,identify
1987,ClinicalTrials.gov,data,processed
1988,ClinicalTrials.gov,data,processed
1989,Seroprevalence Study,effectiveness,evaluate
1990,ClinicalTrials.gov,data,processed
1991,ClinicalTrials.gov,data,processed
1992,natural history,withCOVID-19 infection,known about
1993,ClinicalTrials.gov,data,processed
1994,ClinicalTrials.gov,data,processed
1995,Lopinavir ritonavir,equivocal possibly positive efficacy,showed
1996,ClinicalTrials.gov,data,processed
1997,ClinicalTrials.gov,data,processed
1998,ClinicalTrials.gov,data,processed
1999,RESPIRE Study,design,has
2000,patients,standard,receive
2001,Current,bacterial infection,documented
2002,ClinicalTrials.gov,data,processed
2003,Presence,MAP,maintain
2004,Platelet,"< 50,000/ml2",count
2005,Patient,Extracorporeal Membrane Oxygenation,receiving
2006,ClinicalTrials.gov,data,processed
2007,use,obese cases,help
2008,use,obese cases,help
2009,ClinicalTrials.gov,data,processed
2010,ClinicalTrials.gov,data,processed
2011,children:-Age,visit,between birth and 15 years-Carrying out
2012,ClinicalTrials.gov,data,processed
2013,ClinicalTrials.gov,data,processed
2014,English acronym,coronavirus disease,is
2015,ClinicalTrials.gov,data,processed
2016,number,number,reached
2017,patients,conjunctival swab,receive
2018,objective,purpose,has
2019,ClinicalTrials.gov,data,processed
2020,investigators,aftercare ambulatory unit,created
2021,investigators,data,export
2022,ClinicalTrials.gov,follow data,processed
2023,SAR Cov-2 infection,cardiovascular system,include
2024,ClinicalTrials.gov,data,processed
2025,ClinicalTrials.gov,data,processed
2026,Rapidly emerging evidence,foundolfactory taste disturbances,have
2027,study population,subjects,draw
2028,Cases: Laboratory,COVID-19 infection,confirmed
2029,ClinicalTrials.gov,data,processed
2030,ClinicalTrials.gov,data,processed
2031,patients,medical consultation,seek
2032,Physicians,useddifferent therapeutic approaches,have
2033,ClinicalTrials.gov,data,processed
2034,guidelines,conservative fluid strategy,advocate
2035,ClinicalTrials.gov,data,processed
2036,ClinicalTrials.gov,data,processed
2037,ClinicalTrials.gov,data,processed
2038,ClinicalTrials.gov,data,processed
2039,ClinicalTrials.gov,data,processed
2040,policies,grief,The investigatorshypothesize
2041,ClinicalTrials.gov,data,processed
2042,Early PP,spontaneous breathing patientswith AHRF,benefit
2043,ClinicalTrials.gov,data,processed
2044,ClinicalTrials.gov,data,processed
2045,investigators,EuRopean Study,undertook
2046,ClinicalTrials.gov,data,processed
2047,Patients,lower respiratory tract,orfrom
2048,ClinicalTrials.gov,data,processed
2049,Recruited subjects,adult patients,include
2050,subjects,written informed consent,give
2051,potential additional future testing,immune response,Willingness to
2052,ClinicalTrials.gov,data,processed
2053,ClinicalTrials.gov,data,processed
2054,ClinicalTrials.gov,data,processed
2055,the COVID-19,recovered patient,infected
2056,ClinicalTrials.gov,data,processed
2057,ClinicalTrials.gov,data,processed
2058,ClinicalTrials.gov,data,processed
2059,patients,68Ga]Ga DOTA-(RGD)2 PET CT scan,Intervention
2060,ClinicalTrials.gov,data,processed
2061,ClinicalTrials.gov,data,processed
2062,ClinicalTrials.gov,data,processed
2063,ClinicalTrials.gov,data,processed
2064,Modulation,virus,counteract
2065,ClinicalTrials.gov,data,processed
2066,ClinicalTrials.gov,data,processed
2067,China,cases,reported
2068,mortality,1.4 and 42%,rangesbetween
2069,cases,finding countries,increasing
2070,ClinicalTrials.gov,data,processed
2071,ClinicalTrials.gov,data,processed
2072,Combination,COVID-19 Infection-,Promising
2073,Combination,COVID-19 Infection-,Promising
2074,IsotretinoinCould,COVID-19,Promising
2075,B38-CAP homolog,structural similarity,shares
2076,Therapeutic efficacy,investigation,warrant
2077,increased generation,counter - regulatoryprotective effects,triggers
2078,recombinant,therapeutic approachesin patients,promising
2079,B38-CAP homolog,structural similarity,shares
2080,Invitro recombinant B38-CAP protein,conversion,catalyzed
2081,Therapeutic efficacy,investigation,warrant
2082,ClinicalTrials.gov,data,processed
2083,Earlymobilization,risk,reduce
2084,tertiary referral centers,participants,recruit
2085,postural positioning,patient Non - invasively ventilated O2 high fluxes,Weaned off
2086,ClinicalTrials.gov,data,processed
2087,nation wide prospective cohort study,main issues:1,addresses
2088,nation wide prospective cohort study,onchildren,focuses
2089,ClinicalTrials.gov,data,processed
2090,ClinicalTrials.gov,data,processed
2091,study,periods,consistsof
2092,patients,qualitative determination,undergo
2093,patients,1 tablet,receive
2094,Patients,KBILD questionnaire,complete
2095,adequate contraception methods,use,include
2096,use,transfusion,plasma
2097,ClinicalTrials.gov,data,processed
2098,ClinicalTrials.gov,data,processed
2099,selective blockade,pulmonary inflammatory response inthe subject,modulate
2100,investigators,randomized controlled open label intervention study,propose
2101,Diabetic patients,treatment,begin
2102,ClinicalTrials.gov,data,processed
2103,ClinicalTrials.gov,data,processed
2104,ClinicalTrials.gov,data,processed
2105,ClinicalTrials.gov,data,processed
2106,nonCOVID-19 diagnosis,out.-Patient,ruled
2107,ClinicalTrials.gov,data,processed
2108,ClinicalTrials.gov,data,processed
2109,Inclusion Criteria:-Adults,18,aged
2110,ClinicalTrials.gov,data,processed
2111,SARS Cov-2 Infection COVID-19,severe clinicalcourse,develop
2112,ClinicalTrials.gov,data,processed
2113,Chloroquine,activity againstSARS coronaviruses,demonstrated
2114,ClinicalTrials.gov,data,processed
2115,subject,trial,advised to
2116,ClinicalTrials.gov,data,processed
2117,study patients,7 to up to 14 days of defibrotide,receive
2118,millimeters,voluntary written informed consent,300 mmHg
2119,ClinicalTrials.gov,data,processed
2120,ClinicalTrials.gov,data,processed
2121,ClinicalTrials.gov,data,processed
2122,ClinicalTrials.gov,data,processed
2123,the World Health Organization,COVID-19 outbreak,declared
2124,preliminary results,moderateto severe degree psychological impact,showed
2125,ClinicalTrials.gov,data,processed
2126,ClinicalTrials.gov,data,processed
2127,duration,time,include
2128,Evidence,vascular access,occluded
2129,ClinicalTrials.gov,data,processed
2130,Religousleaders,mask use,encourage
2131,ClinicalTrials.gov,data,processed
2132,exclusion category,1,includes
2133,ClinicalTrials.gov,data,processed
2134,kidney histology,severe acute tubularnecrosis,showed
2135,Non - specific mechanisms,hypovolemia,include
2136,Pharmaceutical industries,lot,made
2137,ClinicalTrials.gov,data,processed
2138,successive complement system,massive local release,activationcauses
2139,Functional implications,progressive worsening,includea
2140,negligible,high D dimerlevel,presents
2141,CT,positive,scan
2142,ClinicalTrials.gov,data,processed
2143,ClinicalTrials.gov,data,processed
2144,SARS CoV-2 Outcomes,Rehabilitation,Recovery Profiles in
2145,COVID19 patients survivors,lung function andreduced ability,reduced
2146,patients,program,areoffered
2147,Patients,abattery,undergo
2148,ClinicalTrials.gov,data,processed
2149,pulmonary coronarvirus disease,theattention,stated
2150,studies,broad spectrum antimicrobial effect,demonstrated
2151,ClinicalTrials.gov,data,processed
2152,International guidelines,anticoagulation,recommendprophylactic
2153,Theformer,large implications,have
2154,Region Östergötland/Östergötland County,population,has
2155,ClinicalTrials.gov,data,processed
2156,130 Patients,effect,evaluate
2157,ClinicalTrials.gov,data,processed
2158,olderpeople,IFN β deficiency,shown
2159,Addition,lung cells,protects
2160,Synairgen,randomised placebo,conducted
2161,patient,SNG001or placebo,receive
2162,ClinicalTrials.gov,data,processed
2163,ClinicalTrials.gov,data,processed
2164,primaryoutcome,main ventilator settings,includes
2165,Healthcare workers,best care,struggling
2166,data,tointensive care units,admitted
2167,patients,invasive ventilation,berestricted to
2168,ClinicalTrials.gov,data,processed
2169,total duration,visit,is
2170,recent diagnostic test,SARS CoV-2,positivefor
2171,Admission,continuous positive airway pressure,required
2172,ClinicalTrials.gov,data,processed
2173,ClinicalTrials.gov,data,processed
2174,High resolution CT,pulmonary fibrosis,indicates
2175,ClinicalTrials.gov,data,processed
2176,Provide,informed consent2,written
2177,Female subjects,blood pregnancy test,undergo
2178,ClinicalTrials.gov,data,processed
2179,patients,severe sleep disruption,experience
2180,Sleepdisruption sleep alteration,influence,have
2181,Patients,marked fragmentation,experience
2182,sleep deprivation,negative impact,shown
2183,factors,quality,influence
2184,ClinicalTrials.gov,data,processed
2185,ClinicalTrials.gov,data,processed
2186,ClinicalTrials.gov,data,processed
2187,dual role,considerable challenge,poses
2188,ClinicalTrials.gov,data,processed
2189,Remote,Glucose Monitoring,Continues
2190,Male,over 18 years,aged
2191,ClinicalTrials.gov,data,processed
2192,investigators,longitudinal study,perform
2193,severe form,poor prognosis,mayhave
2194,test ofpolyfunctionality,intracellular cytokine expression,characterize
2195,ClinicalTrials.gov,data,processed
2196,immune system,corticosteroids,includes
2197,ClinicalTrials.gov,data,processed
2198,Genitourinary Tumors,COVID-19 Infection,Observational Retrospective-prospective Study in
2199,greatest severity Treatments,Negative presence,Present symptoms
2200,ClinicalTrials.gov,data,processed
2201,ClinicalTrials.gov,data,processed
2202,study team,randomized controlled trial,proposes
2203,ClinicalTrials.gov,data,processed
2204,ClinicalTrials.gov,data,processed
2205,Cyclosporin,replication,blocks
2206,alisporivir,replication,inhibits
2207,Severe renal impairment,haemodialysis,requiring
2208,ClinicalTrials.gov,data,processed
2209,ClinicalTrials.gov,data,processed
2210,Chinese scientists,genomeinformation,shared
2211,randomized controlled double blind trial,ofremdesivir,evaluate
2212,Chinese scientists,genomeinformation,shared
2213,randomized controlled double blind trial,ofremdesivir,evaluate
2214,Laboratory,COVID-19.3,confirmed
2215,e.g. Child Pugh,≥ C,Severe liver disease
2216,ClinicalTrials.gov,data,processed
2217,ClinicalTrials.gov,data,processed
2218,Patients,surveys,follow up
2219,ClinicalTrials.gov,data,processed
2220,Criteria:-Newly,patients,diagnosed
2221,ClinicalTrials.gov,data,processed
2222,Participants,information,provided
2223,Inclusion Criteria:-Subjects,18,aged
2224,ClinicalTrials.gov,data,processed
2225,20 / min,60,diastolic
2226,ClinicalTrials.gov,data,processed
2227,COVID-19,hospitalization,requires
2228,ClinicalTrials.gov,data,processed
2229,Randomized Clinical Trial,short term,evaluate
2230,ClinicalTrials.gov,data,processed
2231,Covid-19,increasing threat,poses
2232,ClinicalTrials.gov,data,processed
2233,investigators,prospective randomized double blind placebo controlled study,propose
2234,firstly 3 patients,MTX LDE IV,receive
2235,9 patients,MTX LDE IV 30 mg,receive
2236,Patients,clinical laboratory safety evaluations,undergo
2237,ClinicalTrials.gov,data,processed
2238,Investigators,prospective cohort study,conduct
2239,ClinicalTrials.gov,data,processed
2240,review,followingfetal complications,demonstrate
2241,prospective randomized double blind placebo controlled study,pregnant women,follow
2242,ClinicalTrials.gov,data,processed
2243,patientsmay,prophylaxis,require
2244,ClinicalTrials.gov,data,processed
2245,attention,onmode,focused
2246,emphasis,post- acute care,involve
2247,COVID-19,major impact,anticipated
2248,Inclusion,cases,confirmed
2249,ClinicalTrials.gov,data,processed
2250,Outcomes,safety,include
2251,ClinicalTrials.gov,data,processed
2252,ClinicalTrials.gov,data,processed
2253,HCQ,theirtreatment,interrupted
2254,Patients,corticosteroids,receive
2255,ClinicalTrials.gov,data,processed
2256,TypeIII IFNs,restricted receptor expression,have
2257,clinical status,immediateconsent,obtained from
2258,ClinicalTrials.gov,data,processed
2259,ClinicalTrials.gov,data,processed
2260,Investigators,Registry(COREG,Methods
2261,McMaster Multi Regional COVID-19 Hospital Case Registry,data,includes
2262,McMaster,REDCap,stored in
2263,Datacollectors,standardized training,undergo
2264,COREG,consensus recommendations,shape
2265,ClinicalTrials.gov,data,processed
2266,investigator,instructions,give
2267,ClinicalTrials.gov,data,processed
2268,immunomodulatory therapies,potential long term effects onmale fertility,provoke
2269,cytokine microenvironment,tumorigenic adverse effects,have
2270,ClinicalTrials.gov,data,processed
2271,largest published registry,disease,describes
2272,literature search,myocardialinjury,reported
2273,confirmed COVID-19,3biomarkers high sensitivity troponin T,be
2274,Patients,positive realtime reverse transcription,have
2275,COVID-19 disease,thoracic X - ray imaging findings,confirmed on
2276,ClinicalTrials.gov,data,processed
2277,number,total number,calculated
2278,surveillance,execution,involves
2279,ClinicalTrials.gov,data,processed
2280,toCOVID-19,symptomatic COVID 19 infections,prevent
2281,Limited physical assessment,visit,collectedduring
2282,ClinicalTrials.gov,data,processed
2283,ClinicalTrials.gov,data,processed
2284,Ability,valid email address,have
2285,ClinicalTrials.gov,data,processed
2286,carrierdiagnosis,false negatives,present
2287,Caregivers,onlypartial access,have
2288,ClinicalTrials.gov,data,processed
2289,ofthese patients,secondary bacterial infections,develop
2290,Patients,WMT,underwent
2291,Fungal,pathogens infection6,identified
2292,ClinicalTrials.gov,data,processed
2293,Herd Immunity Study,history,aiming at
2294,ClinicalTrials.gov,data,processed
2295,Adults,18 years of age,aged
2296,investigators,hydroxychloroquine,prescribe
2297,ClinicalTrials.gov,data,processed
2298,Neuromuscular Blockade Agents,COVID-19 Patients,The Use of
2299,patients,inintensive care units,hospitalized
2300,ClinicalTrials.gov,data,processed
2301,ClinicalTrials.gov,data,processed
2302,Chinese scientists,novel coronavirus,isolated
2303,The WHO,later virus,designated
2304,West Algerian CORODIAB-13 study,answers,provide
2305,ClinicalTrials.gov,data,processed
2306,ClinicalTrials.gov,data,processed
2307,ClinicalTrials.gov,data,processed
2308,Participants,routine clinical data,have
2309,ClinicalTrials.gov,data,processed
2310,study,thefeasibility,explore
2311,password protected study website,dynamic programmatic content,provides
2312,ClinicalTrials.gov,data,processed
2313,ClinicalTrials.gov,data,processed
2314,ClinicalTrials.gov,Participants socio demographic data,processed
2315,response,question3,respond
2316,absence,unprotected exposure,constituted
2317,ClinicalTrials.gov,data,processed
2318,patients,chain reaction,undergopolymerase
2319,ClinicalTrials.gov,data,processed
2320,study,design,has
2321,ClinicalTrials.gov,data,processed
2322,researchteam,Eligible patients,visit
2323,ClinicalTrials.gov,data,processed
2324,ClinicalTrials.gov,data,processed
2325,ClinicalTrials.gov,data,processed
2326,25%,risk score.2,-Use
2327,sample,risk score,validate
2328,ClinicalTrials.gov,data,processed
2329,ClinicalTrials.gov,data,processed
2330,ClinicalTrials.gov,data,processed
2331,Subject,medical history,1
2332,Subject,history,1
2333,ClinicalTrials.gov,data,processed
2334,ofthe investigator clinical team,Murray scores,perform
2335,ClinicalTrials.gov,data,processed
2336,Neutralizing antibodies,important role,play
2337,SARS-CoV -2 specific NAbs,SARS CoV specific NAbs peak,reached
2338,ClinicalTrials.gov,data,processed
2339,ClinicalTrials.gov,data,processed
2340,group,4 weeks,complete
2341,ClinicalTrials.gov,data,processed
2342,Hopelessness,issue,compounds
2343,study team,225 hopeless IHDpatients from a large community teaching hospital in the Midwest,enroll
2344,ClinicalTrials.gov,data,processed
2345,clinical trial isto,safety,test
2346,Project,proper approvals,received
2347,Diagnostic criteria,1,includes
2348,Liver disease,grade C,score
2349,ClinicalTrials.gov,data,processed
2350,pandemic,tremendous stress,placed
2351,ClinicalTrials.gov,data,processed
2352,Sarcopenia,major inpatients,seems
2353,rehabilitation ofthese patients,nutritional support,requires
2354,IRS Care,assessments,needs
2355,ClinicalTrials.gov,data,processed
2356,Measurement,Software,Collect
2357,study staff member,brief set ofdemographic medical history questions,complete
2358,study team,set,complete
2359,study staff,post - measurement observation questions,complete
2360,ClinicalTrials.gov,data,processed
2361,ClinicalTrials.gov,data,processed
2362,volume,bycompliance,computed
2363,Participants,initially deep sedation andneuromuscular blockers,receive
2364,ClinicalTrials.gov,clinical data,processed
2365,investigators,prognosisand outcomes,study
2366,investigators,toevaluate hospital length,propose
2367,CVD,outcomes,influence
2368,study,male female patients,include
2369,ClinicalTrials.gov,data,processed
2370,Preliminary data,hypothesis,support
2371,Preliminary data,hypothesis,support
2372,ClinicalTrials.gov,data,processed
2373,ClinicalTrials.gov,data,processed
2374,healthcare workers,second option,adopt
2375,ClinicalTrials.gov,data,processed
2376,Viral RNA extraction,large volume,Ab
2377,ClinicalTrials.gov,data,processed
2378,ClinicalTrials.gov,data,processed
2379,ofretrospective studies,older age,The results
2380,ill individuals,CoViD-19 disease requiringmechanical ventilation,confirmed
2381,ClinicalTrials.gov,data,processed
2382,French,national containment,In
2383,Sleep disorders,major impact,have
2384,socio demographic factors,influence,is
2385,Child,7 to 11 years,aged
2386,ClinicalTrials.gov,data,processed
2387,difference,Freestyle Libre CGM,glucose
2388,theinvestigators,difference,noted
2389,ClinicalTrials.gov,data,processed
2390,ClinicalTrials.gov,data,processed
2391,COVID-19,children,studied in
2392,A Feasibility Study,safety,determine
2393,A Feasibility Study,safety,determine
2394,ClinicalTrials.gov,data,processed
2395,ClinicalTrials.gov,data,processed
2396,study,study effectiveness,investigate
2397,ClinicalTrials.gov,data,processed
2398,New developments,understanding,improve
2399,ClinicalTrials.gov,data,processed
2400,Participantswill,Participantswill standard medical treatment,continue
2401,study andcheck,physicians suitability,study
2402,Participantswill,Participantswill standard medical treatment,continue
2403,Permanent sterilization methods,tubal ligation,include
2404,ClinicalTrials.gov,data,processed
2405,virus infection,non-specificurticaria,includes
2406,Pathological findings,thrombocytic lymphocytic vasculitis,showed
2407,SAVI,acral skin,associates
2408,Production ofautoantibodies,thrombogenic properties,have
2409,ClinicalTrials.gov,data,processed
2410,ClinicalTrials.gov,data,processed
2411,ClinicalTrials.gov,data,processed
2412,ClinicalTrials.gov,data,processed
2413,experiments,direct impact,have
2414,screening tool,presence,beadministered in
2415,ClinicalTrials.gov,data,processed
2416,attending proceduralist,the SGB,perform
2417,Nurse,patientmonitoring,provide
2418,SGB perineural catheter,standard sterile technique,placedusing
2419,ClinicalTrials.gov,data,processed
2420,hyperinflammatory responses,acute lung injury,drive
2421,ClinicalTrials.gov,data,processed
2422,the World Health Organization,pandemic,outbreak
2423,positive patients andto,role,clarify
2424,ClinicalTrials.gov,data,processed
2425,ClinicalTrials.gov,data,processed
2426,ClinicalTrials.gov,data,processed
2427,ClinicalTrials.gov,data,processed
2428,Uncaria Tomentosa)has,potent anti - viral immunomodulatory activity,Cats Claw
2429,TNF alpha,monocyte culture supernatants,ininfected
2430,alkaloidal fraction,strongimmunomodulation,decreased
2431,Glutamine,forimmune suppressed individuals,recommended
2432,Magnesium Gluconate,immunomodulatory effects,shown
2433,herb,potentialantiviral immunomodulatory properties,believed
2434,Giloy,normal functioning,supports
2435,Itspharmacological activities,cardioprotective activity,include
2436,herb,antiviral activity,believed
2437,minerals,immune boosting activities,Studiesshow
2438,Damanaka,potential anti - malarial properties,has
2439,ClinicalTrials.gov,data,processed
2440,Ono Pharmaceutical,mesylate tablets,provideCamostat
2441,gelatin,Size,capsules
2442,arm,100 subjects,have
2443,patients,treatment,receive
2444,ClinicalTrials.gov,data,processed
2445,Study participation,onevisit,includes
2446,consented patient,screening questions,answer
2447,study statistician,block randomization schedule,create
2448,participants,known COVID+ status,alreadyhave
2449,study,only one 70-90 minute,requires
2450,ClinicalTrials.gov,data,processed
2451,Aninterim analysis,proportion,showed
2452,ClinicalTrials.gov,data,processed
2453,The Fleming [FMTVDM,Treatment Protocol,Directed
2454,VARIANCE,values,provide
2455,ClinicalTrials.gov,data,processed
2456,long term disabilities,dependence,lead to
2457,old;-Membership,consent,provides
2458,ClinicalTrials.gov,data,processed
2459,eligible patients,severe symptoms,with
2460,Subjects,18 to 79 years of age2,aged
2461,ClinicalTrials.gov,data,processed
2462,ClinicalTrials.gov,data,processed
2463,Study,actual situation,explores
2464,the Section,information,Section one obtains information from
2465,ClinicalTrials.gov,data,processed
2466,repurposed new drugs,antimalarials(chloroquine,include
2467,ClinicalTrials.gov,data,processed
2468,ClinicalTrials.gov,data,processed
2469,unknown role,study,necessitates
2470,ClinicalTrials.gov,data,processed
2471,ClinicalTrials.gov,data,processed
2472,Study,real time observational data,collects
2473,ClinicalTrials.gov,data,processed
2474,Patients,havenon - specific symptoms,may
2475,Platelets,"less than 70,0000",count
2476,ClinicalTrials.gov,data,processed
2477,fact,cytokine stormsyndrome,generate
2478,ClinicalTrials.gov,data,processed
2479,ClinicalTrials.gov,data,processed
2480,Male female subjects,18 to 45 years,aged
2481,body,no less than 50 kg,weight
2482,Previous viral gene sequencing,high homology,showed
2483,Medical history,following diseases,suggest
2484,ClinicalTrials.gov,data,processed
2485,novel coronavirus,respiratory symptoms,reported in
2486,Clinical studies,incidence rate,show
2487,Clinical studies,trail respiratory symptoms,precede
2488,pooled analysis,overallpercentage,revealed
2489,SARS CoV-2,angiotensin converting enzyme 2(ACE2,uses
2490,ClinicalTrials.gov,data,processed
2491,previous Asian epidemics,lasting impact,had
2492,study,psychological impact,assessed
2493,ClinicalTrials.gov,data,processed
2494,study,non - randomisedcomparator condition,comprises
2495,ClinicalTrials.gov,data,processed
2496,ClinicalTrials.gov,data,processed
2497,pandemic,relationship,andreveal
2498,42.463.119 individuals,criterion,cover
2499,ClinicalTrials.gov,data,processed
2500,ClinicalTrials.gov,data,processed
2501,Project,surgeon patient telemedicine perspectives,assess
2502,ClinicalTrials.gov,data,processed
2503,ClinicalTrials.gov,data,processed
2504,population,persons,include
2505,ClinicalTrials.gov,data,processed
2506,convalescent plasma,clinical laboratory clearance conditions,improve
2507,fresh plasma,negative prognostic factors,Assess
2508,patients,response points,evaluated
2509,ClinicalTrials.gov,data,processed
2510,antibodies,ashort term passive immunization,provide
2511,Thesecases,symptoms,showed
2512,Preclinical studies,remdesivir,suggested
2513,ClinicalTrials.gov,data,processed
2514,Functional testing,olfaction testing,include
2515,ClinicalTrials.gov,data,processed
2516,Patients,single dose ivermectin of12 mg,receive
2517,ClinicalTrials.gov,data,processed
2518,majority,acute respiratory distress syndrome,CoV-2)developed
2519,airway pressures,impact,reflect
2520,Elastance,values,influence
2521,ClinicalTrials.gov,data,processed
2522,study,aplacebo comparator group,comprise
2523,Humanity,new pandemic,experiencing
2524,small open label trial,viralcontainment,treated with
2525,randomized clinical studies,28-day survival benefit,shown
2526,ClinicalTrials.gov,data,processed
2527,study population,COVID-19 pateints,include
2528,ClinicalTrials.gov,data,processed
2529,Criteria:-,diabetic patients,enrolled
2530,ClinicalTrials.gov,data,processed
2531,Pregnant women,cov-2 positives,SARS
2532,ClinicalTrials.gov,data,processed
2533,ClinicalTrials.gov,data,processed
2534,Platelet,"70,000 or known functional platelet disorder 4",count
2535,ClinicalTrials.gov,data,processed
2536,pandemic,epidemiologicaldata,generated
2537,"Approximately 200,000 children",witha,living
2538,The French Society of Cardiology,recommendations,issued
2539,ClinicalTrials.gov,data,processed
2540,ClinicalTrials.gov,data,processed
2541,Cohorts,anapproximately equal number,include
2542,Examples,1,include
2543,ClinicalTrials.gov,data,processed
2544,change,impacton follow,have
2545,change,impact,have
2546,ClinicalTrials.gov,data,processed
2547,Patient,clinical criteria,meets
2548,ClinicalTrials.gov,data,processed
2549,ECG,left ventricular ejection fraction,carried out
2550,ClinicalTrials.gov,data,processed
2551,Inclusion,confirmed diagnosis,Criteria:-having
2552,ClinicalTrials.gov,data,processed
2553,current COVID-19 pandemic,healthcare organizations,providing
2554,arapidly expanding body,pattern,identified
2555,ClinicalTrials.gov,data,processed
2556,people,mild moderate symptoms,develop
2557,ClinicalTrials.gov,data,processed
2558,ClinicalTrials.gov,data,processed
2559,the COVID-19 Pandemic,major impact,had
2560,hydroxychloroquine,viral replication,prevent
2561,ClinicalTrials.gov,data,processed
2562,Inclusion Criteria:-COVID-19 PCR,patients,"positive,-Hospitalized"
2563,ClinicalTrials.gov,data,processed
2564,RTB101,Severity,Phase 3 Study to
2565,ClinicalTrials.gov,data,processed
2566,Patient,SARS CoV-2 infection,confirmed
2567,ClinicalTrials.gov,data,processed
2568,ClinicalTrials.gov,data,processed
2569,healthcare systems,unprecedented challenges,facing
2570,largest case series,"72,314 case records",reported
2571,putativemechanisms,direct myocardial injury,include
2572,COVID-19,asignificant impact,have
2573,myocarditis,contributing role,attributed to
2574,Imaging,imaging,is
2575,unique property,directquantification,allows
2576,CTCA,excellent sensitivity,has
2577,major,use,guidelinesadvocate
2578,Age,healthy control,matched
2579,ClinicalTrials.gov,data,processed
2580,UK,app,developed
2581,ClinicalTrials.gov,data,processed
2582,Pandemic,fears,created
2583,information,different types,had
2584,single respondent,survey responseto,set
2585,Minimum,personal details Section II,required
2586,6 Questions,following,carried
2587,Section II & III,closed ended questions,contained
2588,ClinicalTrials.gov,data,processed
2589,sample size,duration,dependon
2590,ClinicalTrials.gov,data,processed
2591,Phase Ib,Exploratory Trial,Controlled
2592,52 to,resolution,taken at
2593,ClinicalTrials.gov,data,processed
2594,Evaluation methods,laboratory investigationsand CT chest,include
2595,0.2 cm2.Patients,session,receive
2596,50 mW cm2,phototoxic response,increased
2597,ClinicalTrials.gov,data,processed
2598,ClinicalTrials.gov,data,processed
2599,ClinicalTrials.gov,data,processed
2600,ClinicalTrials.gov,data,processed
2601,treatment,clinical efficacy,demonstrated
2602,ClinicalTrials.gov,data,processed
2603,Infection,tremendous socialimpact,has
2604,interim analysis,place,took
2605,53 % decrease,80%,reached
2606,ClinicalTrials.gov,data,processed
2607,investigators,risk,eliminate
2608,ClinicalTrials.gov,data,processed
2609,ClinicalTrials.gov,data,processed
2610,Domains,Mood/Energy,include
2611,Domains,Mood/Energy,include
2612,PD,Clinical diagnosis,subjects
2613,ClinicalTrials.gov,data,processed
2614,ClinicalTrials.gov,data,processed
2615,ClinicalTrials.gov,data,processed
2616,Virchow triad,major risk factors,describes
2617,ClinicalTrials.gov,data,processed
2618,ClinicalTrials.gov,data,processed
2619,Study,distribution,evaluates
2620,Mothers,proven infection,have
2621,ClinicalTrials.gov,data,processed
2622,The BreastfeedingReport Card,slow improvements,indicates
2623,Hospital staff,breastfeeding,encourage
2624,Information,demography,include
2625,Participating physicians,2-hour Zoom sessions,attend
2626,Demography,guideline items,COVID-19
2627,Infant feeding growth pattern,charts,andgrowth
2628,ClinicalTrials.gov,data,processed
2629,ClinicalTrials.gov,data,processed
2630,SARS Covid-19 virus pandemic,big impact,had
2631,ClinicalTrials.gov,data,processed
2632,patient,enteral routeExclusion criteria1,tolerates
2633,ClinicalTrials.gov,data,processed
2634,COVID-19,aglobal pandemic,caused
2635,pregnant women,intensive care,required
2636,study,increase,observed
2637,theinvestigators,samples,stratify
2638,ClinicalTrials.gov,data,processed
2639,ClinicalTrials.gov,data,processed
2640,recent COVID-19 pandemic,aspects,affected
2641,Theinvestigators,the Online Psychotherapy Tool,use
2642,method,care capacity,increase
2643,Exclusion criteria,active psychosis,include
2644,The SW,pre - designed therapy module,assign
2645,SWs,standard care pathway,learn
2646,Training,webinars,occurthrough
2647,OPTT,identifiable personalinformation,collect
2648,ClinicalTrials.gov,data,processed
2649,ClinicalTrials.gov,data,processed
2650,outbreak,significant strain,put
2651,pandemicExclusion Criteria:-Patients,surgical intervention,undergoing
2652,ClinicalTrials.gov,data,processed
2653,survey,aims,address to
2654,ClinicalTrials.gov,data,processed
2655,ClinicalTrials.gov,data,processed
2656,ClinicalTrials.gov,data,processed
2657,bedside investigations,utmost importance,have
2658,SARS CoV-2)infection,background,leads to
